,rank,phenotype,cui,assoc in neigh,assoc in intom,probability,Benjamini-Hochberg,genes,Unnamed: 8
16,58,Diabetes mellitus type 2,C0011860,9,1671,6.0350947046483574e-06,0.00011934156378600826,"PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG2,SLC22A1,SLC22A2,SLC22A3,SLC47A1",
17,59,Apolipoprotein A-I,C0085201,2,33,6.25182981117689e-06,0.00012139917695473252,"SLC22A2,SLC22A3",
18,60,Lipoprotein(a),C0540214,2,33,6.25182981117689e-06,0.0001234567901234568,"SLC22A2,SLC22A3",
19,61,Intrahepatic Cholestasis,C0008372,2,34,6.8518189914046346e-06,0.00012551440329218108,"SLC22A1,SLC22A2",
20,65,Malignant Pleural Mesothelioma,C0812413,4,259,8.280707657348785e-06,0.00013374485596707818,"PRKAA1,PRKAA2,PRKAB1,SLC22A3",
21,66,Bladder neck obstruction,C0005694,2,37,8.877339596757851e-06,0.0001358024691358025,"SLC22A1,SLC22A3",
22,67,Congenital Heart Defects,C0018798,4,276,1.1261907317816623e-05,0.00013786008230452676,"PRKAA1,PRKAA2,PRKAB1,PRKAG2",
23,74,Infection by Cryptococcus neoformans,C0010414,2,41,1.2143553568377817e-05,0.00015226337448559672,"PRKAA2,PRKAB1",
24,75,Vascular inflammations,C0947751,3,141,1.6283972064101707e-05,0.00015432098765432098,"PRKAA1,PRKAA2,PRKAB1",
25,79,Renal tubular disorder,C0151747,2,47,1.8390639002441308e-05,0.00016255144032921808,"PRKAA2,PRKAB1",
26,84,Insulin Sensitivity,C0920563,2,54,2.798820152871695e-05,0.0001728395061728395,"PRKAA1,PRKAA2",
27,85,Hereditary hemochromatosis,C0392514,3,167,3.16371277024885e-05,0.00017489711934156381,"PRKAA2,PRKAB1,SLC22A3",
28,88,Lipoprotein(a),C0210611,2,59,3.654831913568746e-05,0.00018106995884773665,"SLC22A2,SLC22A3",
29,89,"Cholestasis, Extrahepatic",C0005398,2,60,3.844373831418668e-05,0.0001831275720164609,"SLC22A1,SLC22A2",
30,92,Chronic Kidney Diseases,C1561643,4,379,5.1398330463303665e-05,0.00018930041152263373,"PRKAG2,SLC22A1,SLC22A2,SLC47A1",
31,97,Acute myeloid leukemia,C0023467,8,1702,5.3857119127309616e-05,0.0001995884773662552,"ATG13,PRKAA1,PRKAA2,PRKAB1,SLC22A1,SLC22A2,SLC22A3,ULK1",
32,98,Tuberous sclerosis syndrome,C0041341,3,196,5.9053224369276514e-05,0.00020164609053497946,"PRKAA1,PRKAA2,PRKAB1",
33,99,Non-alcoholic Fatty Liver Disease,C0400966,4,395,6.251426509074065e-05,0.0002037037037037037,"PRKAA1,PRKAA2,PRKAB1,SLC22A3",
34,110,Adenocarcinoma of pancreas,C0279661,2,80,9.095972430839261e-05,0.0002263374485596708,"PRKAA1,PRKAA2",
35,114,Cardiomyopathy,C0878544,4,486,0.00016538786138831085,0.00023456790123456788,"PRKAA1,PRKAA2,PRKAB1,PRKAG2",
36,119,Endothelial dysfunction,C0856169,3,261,0.00017821516687022143,0.0002448559670781893,"PRKAA1,PRKAA2,PRKAB1",
37,121,Solid Neoplasm,C0375095,2,107,0.0002154462755278308,0.00024897119341563785,"PRKAA1,SLC22A3",
38,122,Malignant neoplasm of large intestine,C0346629,4,515,0.00021646129383667836,0.00025102880658436216,"PRKAA1,PRKAA2,PRKAB1,SLC22A3",
39,127,Experimental Organism Basal Cell Carcinoma,C3811653,3,285,0.0002493384263758669,0.00026131687242798347,"PRKAA1,PRKAA2,PRKAB1",
